month,day_type,hour,shape
2,2,9,0.8120454266915875
2,2,10,0.7036381538353478
2,2,11,0.6174172327581507
2,2,12,0.560819461170611
2,2,13,0.6557900724202945
2,2,14,0.6628494152253995
2,2,15,0.6435675729909125
2,2,16,0.8850273900106523
2,2,17,1.0899637222455705
2,2,18,1.1721554773893086
2,2,19,1.1628150267851467
2,2,20,1.113876574362066
2,2,21,1.0945575421771747
2,2,22,0.9028907016453805
2,2,23,0.8828594402361637
3,0,0,1.1351864097445212
3,0,1,1.0602955247778492
3,0,2,0.9624746251002272
3,0,3,0.8975991461478517
3,0,4,0.9250752216964122
3,0,5,1.00586520549392
3,0,6,1.0404021084353412
3,0,7,1.005087150411699
3,0,8,1.2727714961527323
3,0,9,1.1925051956066057
3,0,10,1.0231672913900862
3,0,11,0.983573823861087
3,0,12,0.723838641034561
3,0,13,0.7378737255173944
3,0,14,0.8960284210487308
3,0,15,0.926443935581249
3,0,16,1.0809558130898782
3,0,17,1.2563754245043246
3,0,18,1.3064641888552904
3,0,19,1.2954570702673682
3,0,20,1.2881914772931702
3,0,21,1.265981662439854
3,0,22,1.1173322693012764
3,0,23,1.0702566135058174
3,1,0,1.1703035826977732
3,1,1,1.1278776946337319
3,1,2,1.0726860067480952
3,1,3,1.0249355003168967
3,1,4,1.0451372631341578
3,1,5,1.098243681254296
3,1,6,1.1049794915646132
3,1,7,0.9153089434889078
3,1,8,0.959340900923868
3,1,9,0.9124438174090681
3,1,10,0.7550496431374446
3,1,11,0.7000530738390219
3,1,12,0.5675893226785393
3,1,13,0.6028532872597696
3,1,14,0.5927844159114409
3,1,15,0.6202210440448536
3,1,16,0.7419548657177946
3,1,17,1.1128633114216049
3,1,18,1.2931445031185829
3,1,19,1.3257501295188412
3,1,20,1.331236316433673
3,1,21,1.2928273344301962
3,1,22,1.1457245345393603
3,1,23,1.0840138053253536
3,2,0,1.1325399828163625
3,2,1,1.0759992660527906
3,2,2,0.9803538891782733
3,2,3,0.9601660209573001
3,2,4,0.9775010140633882
3,2,5,1.0225900219766202
3,2,6,1.106690619380332
3,2,7,0.8914335284532501
3,2,8,0.6321925600139942
3,2,9,0.5257075888001487
3,2,10,0.38590109708043097
3,2,11,0.30327532819259595
3,2,12,0.25177979474758677
3,2,13,0.30404653767536693
3,2,14,0.3447441326412628
3,2,15,0.32890119967985154
3,2,16,0.5778161650159033
3,2,17,0.9630445440346388
3,2,18,1.2067079492943888
3,2,19,1.2891034447927072
3,2,20,1.2833152706228765
3,2,21,1.2403593301046592
3,2,22,1.0101001934922373
3,2,23,0.9706992816407621
4,0,0,1.2138962388571914
4,0,1,1.1349474803121795
4,0,2,1.0300469467228368
4,0,3,0.9732215628855483
4,0,4,1.0209443779247673
4,0,5,1.0648775385993845
4,0,6,1.0312877608918734
4,0,7,0.9031513401729725
4,0,8,1.2773548206351977
4,0,9,1.168677943580473
4,0,10,0.9188379004928012
4,0,11,0.913257711272716
4,0,12,0.5592526197964485
4,0,13,0.64366985096226
4,0,14,0.8869016403028409
4,0,15,0.8828831755325252
4,0,16,1.0719207001768414
4,0,17,1.2706944552560624
4,0,18,1.3240679707975498
4,0,19,1.3818897701566848
