valuation_date,delivery_month,horizon_months,n_delivery_hours,contract_name,quoted,near_term_anchored,forward_TRY_MWh,realized_TRY_MWh,realized_coverage,realized_n_hours,spot_at_valuation_TRY_MWh,ggf_quotation_date,ggf_staleness_days,bias_TRY_MWh,abs_error_TRY_MWh,sMAPE_pct,relative_bias_pct,realized_status
2023-06-30,2023-11,5,720,EBM1123,True,False,3366.79,2066.906972222222,1.0,720,1932.0,2023-06-26,4,-1299.883027777778,1299.883027777778,47.84525285171227,-38.60897257559212,ok
2023-06-30,2023-12,6,744,EBM1223,True,False,3639.5399999999972,2075.0002553763443,1.0,744,1932.0,2023-06-26,4,-1564.539744623653,1564.539744623653,54.756451952603044,-42.98729357621167,ok
2023-06-30,2024-01,7,744,EBM0124,True,False,3431.4900000000025,1942.9048655913978,1.0,744,1932.0,2023-06-26,4,-1488.5851344086047,1488.5851344086047,55.395450897700286,-43.38013907686176,ok
2023-12-31,2024-01,1,744,,False,True,2182.910511768139,1942.9048655913978,1.0,744,1345.15,2023-12-29,2,-240.00564617674104,240.00564617674104,11.634337662987782,-10.994754245896159,ok
2023-12-31,2024-02,2,696,EBM0224,True,False,3020.6499999999987,1957.6762356321842,1.0,696,1345.15,2023-12-29,2,-1062.9737643678145,1062.9737643678145,42.70406213074667,-35.190232710436995,ok
2023-12-31,2024-03,3,744,EBM0324,True,False,2811.779999999999,2190.1102016129034,1.0,744,1345.15,2023-12-29,2,-621.6697983870954,621.6697983870954,24.857394837920776,-22.10947507938372,ok
2023-12-31,2024-04,4,720,EBM0424,True,False,3171.6000000000026,1764.0365,1.0,720,1345.15,2023-12-29,2,-1407.5635000000027,1407.5635000000027,57.03675706264033,-44.380233951318,ok
2023-12-31,2024-05,5,744,EBM0524,True,False,3416.020000000001,2047.3150940860212,1.0,744,1345.15,2023-12-29,2,-1368.7049059139797,1368.7049059139797,50.105105483849314,-40.0672392408118,ok
2023-12-31,2024-06,6,720,EBM0624,True,False,2908.500000000002,2095.2285833333335,1.0,720,1345.15,2023-12-29,2,-813.2714166666683,813.2714166666683,32.5066159413823,-27.96188470574756,ok
2023-12-31,2024-07,7,744,EBM0724,True,False,2372.88,2588.8342876344086,1.0,744,1345.15,2023-12-29,2,215.9542876344085,215.9542876344085,8.704825595162143,9.100935893699154,ok
2024-06-30,2024-07,1,744,,False,True,2676.4288540589123,2588.8342876344086,1.0,744,2424.99,2024-06-28,2,-87.59456642450368,87.59456642450368,3.3272626293216208,-3.272815053225233,ok
