hours,forward_TRY_MWh,residual_mean_TRY_MWh,residual_std_TRY_MWh,p_stress,expected_spot_TRY_MWh
298.0,2911.063999998129,0.0,3568.318826908038,0.7365077753312352,2911.063999998129
299.0,2911.0414630854343,0.0,3574.3132228064655,0.7027098189607565,2911.0414630854343
300.0,2911.018926172736,0.0,3579.927303689599,0.6666652505260968,2911.018926172736
301.0,2910.9963892600326,0.0,3585.182741536649,0.6351048317835847,2910.9963892600326
302.0,2910.9738523473234,0.0,3590.1498433866113,0.6136697278251043,2910.9738523473234
303.0,2910.951315434607,0.0,3594.945761038017,0.601989704486652,2910.951315434607
304.0,2910.928778521883,0.0,3599.6323992708085,0.5932830306695259,2910.928778521883
305.0,2910.9062416091524,0.0,3604.2315811876665,0.5872604854783117,2910.9062416091524
306.0,2910.8837046964145,0.0,3608.7757667491064,0.5836158470956617,2910.8837046964145
307.0,2910.8611677836684,0.0,3613.2694647861176,0.578451884635759,2910.8611677836684
308.0,2910.838630870914,0.0,3617.69035392558,0.5714402930440275,2910.838630870914
309.0,2910.81609395815,0.0,3622.0476456672523,0.5692612602518753,2910.81609395815
310.0,2910.7935570453765,0.0,3626.4206634813595,0.5760996896514741,2910.7935570453765
311.0,2910.771020132593,0.0,3630.8881456304716,0.5891064387871693,2910.771020132593
312.0,2910.7484832198006,0.0,3635.4934823428616,0.6050046606395038,2910.7484832198006
313.0,2910.725946307001,0.0,3640.2621376135185,0.6240102820952247,2910.725946307001
314.0,2910.7034093941966,0.0,3645.2459731634767,0.6512106027385615,2910.7034093941966
315.0,2910.68087248139,0.0,3650.531726461401,0.6852958583686255,2910.68087248139
316.0,2910.658335568585,0.0,3656.144952014919,0.7179553008169485,2910.658335568585
317.0,2910.635798655784,0.0,3662.037457382575,0.7434233811998044,2910.635798655784
318.0,2910.6132617429907,0.0,3668.1248998749265,0.7600210800836132,2910.6132617429907
319.0,2910.590724830209,0.0,3674.319470394247,0.768135332868846,2910.590724830209
320.0,2910.5681879174426,0.0,3680.5389211510014,0.7681391353676371,2910.5681879174426
321.0,2910.5456510046934,0.0,3686.698841923392,0.7587954784312867,2910.5456510046934
322.0,2910.5231140919627,0.0,3692.691670247893,0.7365077753312352,2910.5231140919627
323.0,2910.50057717925,0.0,3698.387845329437,0.7027098189607565,2910.50057717925
324.0,2910.4780402665524,0.0,3703.717561100577,0.6666652505260968,2910.4780402665524
325.0,2910.4555033538677,0.0,3708.701613399235,0.6351048317835847,2910.4555033538677
326.0,2910.4329664411935,0.0,3713.407820129126,0.6136697278251043,2910.4329664411935
327.0,2910.410429528528,0.0,3717.949315285461,0.601989704486652,2910.410429528528
328.0,2910.3878926158695,0.0,3722.3858815338854,0.5932830306695259,2910.3878926158695
329.0,2910.3653557032167,0.0,3726.738579385278,0.5872604854783117,2910.3653557032167
330.0,2910.3428187905683,0.0,3731.038763721398,0.5836158470956617,2910.3428187905683
331.0,2910.320281877923,0.0,3735.290775143071,0.578451884635759,2910.320281877923
332.0,2910.2977449652794,0.0,3739.4730094855468,0.5714402930440275,2910.2977449652794
