valuation_date,contract_name,price_TRY_MWh,delivery_year,delivery_month,delivery_month_label,quote_type,source
2022-02-10,EBM0722,1247.8,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-10,EBM0822,1352.6,2022,8,2022-08,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-11,EBM0322,1164.6,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-11,EBM0422,1131.56,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-11,EBM0522,1090.57,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-11,EBM0622,1134.76,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-11,EBM0722,1247.8,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-11,EBM0822,1352.6,2022,8,2022-08,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-14,EBM0322,1164.6,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-14,EBM0422,1131.56,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-14,EBM0522,1090.57,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-14,EBM0622,1134.76,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-14,EBM0722,1247.8,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-14,EBM0822,1352.6,2022,8,2022-08,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-15,EBM0322,1180.0,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-15,EBM0422,1131.18,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-15,EBM0522,1092.84,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-15,EBM0622,1134.38,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-15,EBM0722,1263.6,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-15,EBM0822,1352.6,2022,8,2022-08,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-16,EBM0322,1180.0,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-16,EBM0422,1131.18,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-16,EBM0522,1092.84,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-16,EBM0622,1134.38,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-16,EBM0722,1263.6,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-16,EBM0822,1352.6,2022,8,2022-08,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-17,EBM0322,1180.0,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-17,EBM0422,1131.18,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-17,EBM0522,1092.84,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-17,EBM0622,1134.38,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-17,EBM0722,1263.6,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-17,EBM0822,1352.6,2022,8,2022-08,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-18,EBM0322,1180.0,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-18,EBM0422,1131.18,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-18,EBM0522,1092.84,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-18,EBM0622,1134.38,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-18,EBM0722,1263.6,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-18,EBM0822,1352.6,2022,8,2022-08,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-21,EBM0322,1180.0,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-21,EBM0422,1131.18,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-21,EBM0522,1092.84,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-21,EBM0622,1134.38,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-21,EBM0722,1263.6,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-21,EBM0822,1352.6,2022,8,2022-08,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-22,EBM0322,1180.0,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-22,EBM0422,1131.18,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-22,EBM0522,1092.84,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-22,EBM0622,1134.38,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-22,EBM0722,1263.6,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-22,EBM0822,1352.6,2022,8,2022-08,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-23,EBM0322,1180.0,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-23,EBM0422,1131.18,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-23,EBM0522,1092.84,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-23,EBM0622,1134.38,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-23,EBM0722,1263.6,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-23,EBM0822,1352.6,2022,8,2022-08,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-24,EBM0322,1218.2,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-24,EBM0422,1131.84,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-24,EBM0522,1116.99,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-24,EBM0622,1173.56,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-24,EBM0722,1322.8,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-24,EBM0822,1367.6,2022,8,2022-08,monthly_baseload,EPIAS_VEP_daily_reference_price
